AAL	American Airlines "American"
LKE	Lucky Air "LUCKY AIR" (China)
AJT	Amerijet International "Amerijet" (Ft.Lauderdale, FL)
DJR	Desert Jet "Desert Jet" (Thermal, CA)
TAY	ASL Airlines Belgium "QUALITY" (Belgium)
NIA	Nile Air "NILEBIRD"
YZR	Yangtze River Express Airlines (China)
NAA	Norwegian Air Argentina S.A. "NORUEGA" (Argentina)
FEX	Flightexec Limited "Flightexec" (Canada)
PXG	Aitheras Aviation Group
AMU	Air Macau "Air Macau"
AJI	Ameristar Jet Charter "Ameristar" (Dallas, TX)
LGW	LGW "Walter"
BBA	Bombardier "Bombardier"
PHM	Petroleum Helicopters "Petroleum"
GUN	Grant Aviation (Anchorage, AK)
NMB	Air Namibia "Namibia" (Windhoek)
QUE	Service Aerien Gouvernemental "Quebec" (Canada)
RAX	Royal Air Freight "Air Royal" (Waterford, MI)
VPE	VIVA PERU "VIVA PERU" (Peru)
KNT	Flightpath Charter Airways "Kinetic"
BOG	Live Oak Banking "Bird Dog" (Wilmington, NC)
BHS	Bahamasair Holdings Ltd. "Bahamas" (Bahamas)
CME	Prince Edward Air "Comet" (Canada)
NCA	Nippon Cargo "Nippon Cargo" (Japan)
DHK	DHL Air Ltd "World Express"
XPD	Expedition Airways "Expedition"
SAT	Servico Acoreano de Transportes Aereos - EP "Sata"
CVF	Dassault Falcon Jet "Cloverleaf" (S. Hackensack, NJ)
NCN	National Airlines "National"
SCM	American Jet International "Screamer" (Houston, TX)
PFY	Pel-Air "PELFLIGHT"
OHY	Onur Hava Tasimacilik Awms "Onur Air"
IAX	Island Express Air "Abbotsford Air"
